region,bin,cut,data,data_err,ttbar,ttbar_err,signal,signal_err
2JB,1,all Events,,,17968621.0,4238.941023416108,24816.0,157.53094934012174
2JB,2,ALL,,,17968621.0,4238.941023416108,24816.0,157.53094934012174
2JB,3,evtweigt totweightAuto,,,33336348.281295314,8255.925742040648,10077.777721881866,63.97331930073838
2JB,4,Size(goodJets) >= 2,,,23833538.56034313,6993.397486922453,9309.842612594366,61.48761770227183
2JB,5,Size(goodEles) >= 0,,,23833538.56034313,6993.397486922453,9309.842612594366,61.48761770227183
2JB,6,Size(goodMuos) >= 0,,,23833538.56034313,6993.397486922453,9309.842612594366,61.48761770227183
2JB,7,Size(goodLepts) == 1,,,20363353.018878248,6461.087310864121,1593.9425192773342,25.442092384609897
2JB,8,Pt(goodLepts) descend,,,20363353.018878248,6461.087310864121,1593.9425192773342,25.442092384609897
2JB,9,MTL > 50,,,14791713.696715059,5498.243682858719,992.5084120035172,20.07629624679943
2JB,10,MET > 250,,,42040.17966462142,374.6321021283091,312.2909037768841,11.261498015698649
2JB,11,Pt(goodLepts) < 25,,,13177.405611586815,204.07142964784654,140.10450169444084,7.542972810916436
2JB,12,MET > 400,,,377.2755206897855,50.89782355226193,58.07230070233345,4.856249746505543
2JB,13,Size(bjet) > 0,,,279.7144860625267,41.23088295215346,8.122000098228455,1.8161344332898794
2JB,14,ratio > 0.25,,,270.62115663290024,40.82405874225562,8.122000098228455,1.8161344332898794
2JB,15,Size(goodJets) / Pt(goodLepts[0]) > 0.1,,,242.5217872262001,39.306779715324375,8.122000098228455,1.8161344332898794
2JB,17,MTL > 100,,,38.32412725687027,21.85306856061363,5.2793000638484955,1.4642143906743126
2JBveto,1,all Events,,,17968621.0,4238.941023416108,24816.0,157.53094934012174
2JBveto,2,ALL,,,17968621.0,4238.941023416108,24816.0,157.53094934012174
2JBveto,3,evtweigt totweightAuto,,,33336348.281295314,8255.925742040648,10077.777721881866,63.97331930073838
2JBveto,4,Size(goodJets) >= 2,,,23833538.56034313,6993.397486922453,9309.842612594366,61.48761770227183
2JBveto,5,Size(goodEles) >= 0,,,23833538.56034313,6993.397486922453,9309.842612594366,61.48761770227183
2JBveto,6,Size(goodMuos) >= 0,,,23833538.56034313,6993.397486922453,9309.842612594366,61.48761770227183
2JBveto,7,Size(goodLepts) == 1,,,20363353.018878248,6461.087310864121,1593.9425192773342,25.442092384609897
2JBveto,8,Pt(goodLepts) descend,,,20363353.018878248,6461.087310864121,1593.9425192773342,25.442092384609897
2JBveto,9,MTL > 50,,,14791713.696715059,5498.243682858719,992.5084120035172,20.07629624679943
2JBveto,10,MET > 250,,,42040.17966462142,374.6321021283091,312.2909037768841,11.261498015698649
2JBveto,11,Pt(goodLepts) < 25,,,13177.405611586815,204.07142964784654,140.10450169444084,7.542972810916436
2JBveto,12,MET > 400,,,377.2755206897855,50.89782355226193,58.07230070233345,4.856249746505543
2JBveto,13,Size(bjet) == 0,,,97.56103462725878,29.842967904399398,49.950300604104996,4.50386692972317
2JBveto,14,ratio > 0.25,,,99.63587672263384,29.63782270924898,49.950300604104996,4.50386692972317
2JBveto,15,Size(goodJets) / Pt(goodLepts[0]) > 0.1,,,100.01024247705936,28.173457319830703,49.54420059919357,4.485521163328176
2JBveto,17,MTL > 100,,,9.213722929358482,14.313238596452567,34.51850041747093,3.744057049387717
4JLowxB,1,all Events,,,17968621.0,4238.941023416108,24816.0,157.53094934012174
4JLowxB,2,evtweigt totweightAuto,,,33336348.281295314,8255.925742040648,372.0093600153923,2.361500146946712
4JLowxB,3,Size(goodJets) >= 2,,,23833538.56034313,6993.397486922453,343.6619349755347,2.269743384061849
4JLowxB,4,Size(goodLepts) == 1,,,20363353.018878248,6461.087310864121,58.83852103725076,0.9391650388260171
4JLowxB,5,Pt(goodLepts) descend,,,20363353.018878248,6461.087310864121,58.83852103725076,0.9391650388260171
4JLowxB,6,MTL > 50,,,14791713.696715059,5498.243682858719,36.63728545606136,0.7410929596149595
4JLowxB,7,MET > 250,,,42040.17966462142,374.6321021283091,11.527852911502123,0.41570500811287375
4JLowxB,8,Pt(goodLepts) > 25,,,28862.774053034605,314.17202858713836,6.356059342622757,0.3086775289896645
4JLowxB,9,Size(goodJets) [] 4 6,,,4927.604777954941,163.22381901349928,3.9425556771457195,0.24310839769928996
4JLowxB,10,Size(bjet) > 0,,,4072.7505496843514,147.1461819730053,0.629609651863575,0.09715087845101607
4JLowxB,11,MET > 300,,,894.4476404792367,93.8582310379502,0.47970259189605713,0.08480023892061625
4JLowxB,12,ratio > 0.2,,,900.4085971719323,93.29305109302344,0.47970259189605713,0.08480023892061625
4JLowxB,13,AnaAplanarity > 0.01,,,1250.054073889667,71.21917704649123,0.22486058995127678,0.05805875467331132
4JLowxB,14,Meff > 1000,,,-311.68960105860606,38.31751723158941,0.16489776596426964,0.04971854713375633
4JLowxB,16,MTL [] 150 520,,,-79.55804228782654,18.883770903905475,0.05996282398700714,0.02998141199350357
4JLowxBveto,1,all Events,,,17968621.0,4238.941023416108,24816.0,157.53094934012174
4JLowxBveto,2,evtweigt totweightAuto,,,33336348.281295314,8255.925742040648,372.0093600153923,2.361500146946712
4JLowxBveto,3,Size(goodJets) >= 2,,,23833538.56034313,6993.397486922453,343.6619349755347,2.269743384061849
4JLowxBveto,4,Size(goodLepts) == 1,,,20363353.018878248,6461.087310864121,58.83852103725076,0.9391650388260171
4JLowxBveto,5,Pt(goodLepts) descend,,,20363353.018878248,6461.087310864121,58.83852103725076,0.9391650388260171
4JLowxBveto,6,MTL > 50,,,14791713.696715059,5498.243682858719,36.63728545606136,0.7410929596149595
4JLowxBveto,7,MET > 250,,,42040.17966462142,374.6321021283091,11.527852911502123,0.41570500811287375
4JLowxBveto,8,Pt(goodLepts) > 25,,,28862.774053034605,314.17202858713836,6.356059342622757,0.3086775289896645
4JLowxBveto,9,Size(goodJets) [] 4 6,,,4927.604777954941,163.22381901349928,3.9425556771457195,0.24310839769928996
4JLowxBveto,10,Size(bjet) == 0,,,854.8542282705894,70.64004688644073,3.3129460252821445,0.22285286591855183
4JLowxBveto,11,MET > 300,,,188.23375263565686,45.45763522233994,2.638364255428314,0.1988741885350253
4JLowxBveto,12,ratio > 0.2,,,188.44511595123913,45.18726499095249,2.638364255428314,0.1988741885350253
4JLowxBveto,13,AnaAplanarity > 0.01,,,264.5368580011418,34.17675778029327,1.1392936557531357,0.1306859450643404
4JLowxBveto,14,Meff > 1000,,,-68.89091610035393,17.275450521456584,0.7195538878440857,0.10385865771080617
4JLowxBveto,16,MTL [] 150 520,,,-17.11232054233551,6.369103034905684,0.3297955319285393,0.07031264365804417
4JHighxB,1,all Events,,,17968621.0,4238.941023416108,24816.0,157.53094934012174
4JHighxB,2,evtweigt totweightAuto,,,33336348.281295314,8255.925742040648,372.0093600153923,2.361500146946712
4JHighxB,3,Size(goodJets) >= 2,,,23833538.56034313,6993.397486922453,343.6619349755347,2.269743384061849
4JHighxB,4,Size(goodLepts) == 1,,,20363353.018878248,6461.087310864121,58.83852103725076,0.9391650388260171
4JHighxB,5,Pt(goodLepts) descend,,,20363353.018878248,6461.087310864121,58.83852103725076,0.9391650388260171
4JHighxB,6,MTL > 50,,,14791713.696715059,5498.243682858719,36.63728545606136,0.7410929596149595
4JHighxB,7,MET > 250,,,42040.17966462142,374.6321021283091,11.527852911502123,0.41570500811287375
4JHighxB,8,Pt(goodLepts) > 25,,,28862.774053034605,314.17202858713836,6.356059342622757,0.3086775289896645
4JHighxB,9,Size(goodJets) [] 4 6,,,4927.604777954941,163.22381901349928,3.9425556771457195,0.24310839769928996
4JHighxB,10,Size(bjet) > 0,,,4072.7505496843514,147.1461819730053,0.629609651863575,0.09715087845101607
4JHighxB,11,MET > 300,,,894.4476404792367,93.8582310379502,0.47970259189605713,0.08480023892061625
4JHighxB,12,ratio > 0.2,,,900.4085971719323,93.29305109302344,0.47970259189605713,0.08480023892061625
4JHighxB,13,AnaAplanarity > 0.01,,,1250.054073889667,71.21917704649123,0.22486058995127678,0.05805875467331132
4JHighxB,14,Meff > 1000,,,-311.68960105860606,38.31751723158941,0.16489776596426964,0.04971854713375633
4JHighxB,16,MTL > 520,,,11.107788920402527,6.80516816330011,0.0,0.0
4JHighxBveto,1,all Events,,,17968621.0,4238.941023416108,24816.0,157.53094934012174
4JHighxBveto,2,evtweigt totweightAuto,,,33336348.281295314,8255.925742040648,372.0093600153923,2.361500146946712
4JHighxBveto,3,Size(goodJets) >= 2,,,23833538.56034313,6993.397486922453,343.6619349755347,2.269743384061849
4JHighxBveto,4,Size(goodLepts) == 1,,,20363353.018878248,6461.087310864121,58.83852103725076,0.9391650388260171
4JHighxBveto,5,Pt(goodLepts) descend,,,20363353.018878248,6461.087310864121,58.83852103725076,0.9391650388260171
4JHighxBveto,6,MTL > 50,,,14791713.696715059,5498.243682858719,36.63728545606136,0.7410929596149595
4JHighxBveto,7,MET > 250,,,42040.17966462142,374.6321021283091,11.527852911502123,0.41570500811287375
4JHighxBveto,8,Pt(goodLepts) > 25,,,28862.774053034605,314.17202858713836,6.356059342622757,0.3086775289896645
4JHighxBveto,9,Size(goodJets) [] 4 6,,,4927.604777954941,163.22381901349928,3.9425556771457195,0.24310839769928996
4JHighxBveto,10,Size(bjet) == 0,,,854.8542282705894,70.64004688644073,3.3129460252821445,0.22285286591855183
4JHighxBveto,11,MET > 300,,,188.23375263565686,45.45763522233994,2.638364255428314,0.1988741885350253
4JHighxBveto,12,ratio > 0.2,,,188.44511595123913,45.18726499095249,2.638364255428314,0.1988741885350253
4JHighxBveto,13,AnaAplanarity > 0.01,,,264.5368580011418,34.17675778029327,1.1392936557531357,0.1306859450643404
4JHighxBveto,14,Meff > 1000,,,-68.89091610035393,17.275450521456584,0.7195538878440857,0.10385865771080617
4JHighxBveto,16,MTL > 520,,,-2.178271770477295,2.178271770477295,0.0,0.0
6JB,1,all Events,,,17968621.0,4238.941023416108,24816.0,157.53094934012174
6JB,2,evtweigt totweightAuto,,,33336348.281295314,8255.925742040648,314.3843318670988,1.9956988336831427
6JB,3,Size(goodJets) >= 2,,,23833538.56034313,6993.397486922453,290.42798227164894,1.9181553853336386
6JB,4,Size(goodLepts) == 1,,,20363353.018878248,6461.087310864121,49.72431103233248,0.7936864094818368
6JB,5,Pt(goodLepts) descend,,,20363353.018878248,6461.087310864121,49.72431103233248,0.7936864094818368
6JB,6,MTL > 50,,,14791713.696715059,5498.243682858719,30.96209328994155,0.6262961097277809
6JB,7,MET > 250,,,42040.17966462142,374.6321021283091,9.74216437805444,0.35131143265848847
6JB,8,Pt(goodLepts) > 25,,,28862.774053034605,314.17202858713836,5.371492452919483,0.26086273396397164
6JB,9,Size(goodJets) >= 6,,,520.5966895894235,61.07112261877112,1.3175358846783638,0.12919502280449424
6JB,10,Size(bjet) > 0,,,415.8960647092754,56.84782196726365,0.27870951406657696,0.059421068054118294
6JB,11,AnaAplanarity > 0.01,,,525.0576241890521,48.30460627284438,0.21536644268780947,0.052234034789139454
6JB,12,Meff > 700,,,426.417787661645,45.96912015110336,0.21536644268780947,0.052234034789139454
6JB,13,MET > 300,,,67.26664644991979,29.06381908410727,0.19002921413630247,0.049065332109518835
6JB,15,MTL > 250,,,24.960683345794678,10.886266327946633,0.012668614275753498,0.012668614275753498
6JBveto,1,all Events,,,17968621.0,4238.941023416108,24816.0,157.53094934012174
6JBveto,2,evtweigt totweightAuto,,,33336348.281295314,8255.925742040648,314.3843318670988,1.9956988336831427
6JBveto,3,Size(goodJets) >= 2,,,23833538.56034313,6993.397486922453,290.42798227164894,1.9181553853336386
6JBveto,4,Size(goodLepts) == 1,,,20363353.018878248,6461.087310864121,49.72431103233248,0.7936864094818368
6JBveto,5,Pt(goodLepts) descend,,,20363353.018878248,6461.087310864121,49.72431103233248,0.7936864094818368
6JBveto,6,MTL > 50,,,14791713.696715059,5498.243682858719,30.96209328994155,0.6262961097277809
6JBveto,7,MET > 250,,,42040.17966462142,374.6321021283091,9.74216437805444,0.35131143265848847
6JBveto,8,Pt(goodLepts) > 25,,,28862.774053034605,314.17202858713836,5.371492452919483,0.26086273396397164
6JBveto,9,Size(goodJets) >= 6,,,520.5966895894235,61.07112261877112,1.3175358846783638,0.12919502280449424
6JBveto,10,Size(bjet) == 0,,,104.7006248801481,22.316073926550644,1.0388263706117868,0.11471918143345361
6JBveto,11,AnaAplanarity > 0.01,,,113.18935495312326,19.197373831204988,0.6841051708906889,0.09309492217120417
6JBveto,12,Meff > 700,,,88.77900606091134,17.837368701535077,0.6841051708906889,0.09309492217120417
6JBveto,13,MET > 300,,,38.66245448589325,12.058504773863241,0.5827562566846609,0.08592272244709176
6JBveto,15,MTL > 250,,,0.8130941390991211,3.9552527726717748,0.038005842827260494,0.021942683587097455
